"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 18 00:12:20 UTC 2024","Mon Mar 18 00:12:28 UTC 2024","8677","[UI Testing]: Desktop | Chrome","I can login to the dashboard page to see the content","","","","I can login to the dashboard page to see the content",""
"passed","Mon Mar 18 00:11:04 UTC 2024","Mon Mar 18 00:11:13 UTC 2024","8633","[UI Testing]: iPad Pro 11 | Chrome","I can login to the dashboard page to see the content","","","","I can login to the dashboard page to see the content",""
"passed","Mon Mar 18 00:11:22 UTC 2024","Mon Mar 18 00:11:28 UTC 2024","6235","[UI Testing]: iPad Pro 11 | Chrome","I can see the validation on the Login page","","","","I can see the validation on the Login page",""
"passed","Mon Mar 18 00:12:12 UTC 2024","Mon Mar 18 00:12:18 UTC 2024","6204","[UI Testing]: Galaxy S9+ | Chrome","I can see the validation on the Login page","","","","I can see the validation on the Login page",""
"passed","Mon Mar 18 00:12:03 UTC 2024","Mon Mar 18 00:12:12 UTC 2024","8638","[UI Testing]: Galaxy S9+ | Chrome","I can logout to the application and back to the home page","","","","I can logout to the application and back to the home page",""
"passed","Mon Mar 18 00:11:46 UTC 2024","Mon Mar 18 00:11:53 UTC 2024","6374","[UI Testing]: Pixel 7 | Chrome","I can see the validation on the Login page","","","","I can see the validation on the Login page",""
"passed","Mon Mar 18 00:11:55 UTC 2024","Mon Mar 18 00:12:03 UTC 2024","8591","[UI Testing]: Galaxy S9+ | Chrome","I can login to the dashboard page to see the content","","","","I can login to the dashboard page to see the content",""
"passed","Mon Mar 18 00:12:28 UTC 2024","Mon Mar 18 00:12:37 UTC 2024","8787","[UI Testing]: Desktop | Chrome","I can logout to the application and back to the home page","","","","I can logout to the application and back to the home page",""
"passed","Mon Mar 18 00:12:45 UTC 2024","Mon Mar 18 00:12:48 UTC 2024","2788","[API Testing]","I can login to the application by API and data return correct","","","","I can login to the application by API and data return correct",""
"passed","Mon Mar 18 00:10:56 UTC 2024","Mon Mar 18 00:11:03 UTC 2024","6417","[UI Testing]: iPhone 14 | Chrome","I can see the validation on the Login page","","","","I can see the validation on the Login page",""
"failed","Mon Mar 18 00:13:01 UTC 2024","Mon Mar 18 00:13:05 UTC 2024","4103","[Database Testing]","I can get Users have gender Female in Database","","","","I can get Users have gender Female in Database",""
"passed","Mon Mar 18 00:12:37 UTC 2024","Mon Mar 18 00:12:44 UTC 2024","6490","[UI Testing]: Desktop | Chrome","I can see the validation on the Login page","","","","I can see the validation on the Login page",""
"passed","Mon Mar 18 00:10:48 UTC 2024","Mon Mar 18 00:10:56 UTC 2024","8456","[UI Testing]: iPhone 14 | Chrome","I can logout to the application and back to the home page","","","","I can logout to the application and back to the home page",""
"failed","Mon Mar 18 00:12:53 UTC 2024","Mon Mar 18 00:12:57 UTC 2024","4304","[Database Testing]","I access the Users table and validate data correct as my expect","","","","I access the Users table and validate data correct as my expect",""
"passed","Mon Mar 18 00:11:29 UTC 2024","Mon Mar 18 00:11:38 UTC 2024","8635","[UI Testing]: Pixel 7 | Chrome","I can login to the dashboard page to see the content","","","","I can login to the dashboard page to see the content",""
"passed","Mon Mar 18 00:11:13 UTC 2024","Mon Mar 18 00:11:22 UTC 2024","8650","[UI Testing]: iPad Pro 11 | Chrome","I can logout to the application and back to the home page","","","","I can logout to the application and back to the home page",""
"passed","Mon Mar 18 00:12:48 UTC 2024","Mon Mar 18 00:12:50 UTC 2024","2364","[API Testing]","I can get the Sale Opportunities of User by API and data return correct","","","","I can get the Sale Opportunities of User by API and data return correct",""
"passed","Mon Mar 18 00:11:38 UTC 2024","Mon Mar 18 00:11:46 UTC 2024","8428","[UI Testing]: Pixel 7 | Chrome","I can logout to the application and back to the home page","","","","I can logout to the application and back to the home page",""
"failed","Mon Mar 18 00:12:57 UTC 2024","Mon Mar 18 00:13:01 UTC 2024","4060","[Database Testing]","I access the Profiles table and validate data correct as my expect","","","","I access the Profiles table and validate data correct as my expect",""
"passed","Mon Mar 18 00:10:35 UTC 2024","Mon Mar 18 00:10:48 UTC 2024","13111","[UI Testing]: iPhone 14 | Chrome","I can login to the dashboard page to see the content","","","","I can login to the dashboard page to see the content",""
"passed","Mon Mar 18 00:12:50 UTC 2024","Mon Mar 18 00:12:51 UTC 2024","700","[API Testing]","I can not get the User Profile by API without token","","","","I can not get the User Profile by API without token",""
